M0,g,gv,ch,cl,total_widthV0,BRWW,BRhZ,BRuu,BRdd,BRnunu,BRbb,BRtt,BRjets,BRll
4000.0,0.6534,3.0,-0.25,-8.43226,452.3317,0.008253355,0.008273762,0.12301407,0.123026714,0.12303935,0.1230262,0.12232441,0.7374321,0.082000956
4000.0,0.6534,3.0,-0.16667,-8.43226,447.38785,0.0037066434,0.0037169107,0.12415487,0.12416339,0.124171905,0.124162875,0.12345886,0.7442582,0.08276424
4000.0,0.6534,3.0,-0.08333,-8.43226,444.109,0.0009330584,0.0009358096,0.12485181,0.12485609,0.12486038,0.12485558,0.12415194,0.7484233,0.08323168
4000.0,0.6534,3.0,0.0,-8.43226,442.49323,0.0,0.0,0.12508772,0.12508772,0.12508772,0.1250872,0.12438657,0.7498246,0.08339181
4000.0,0.6534,3.0,0.08333,-8.43226,442.5391,0.0009363682,0.00093912944,0.124855265,0.12485096,0.12484665,0.124850444,0.12415547,0.74841833,0.08323971
4000.0,0.6534,3.0,0.16667,-8.43226,444.2478,0.0037328438,0.0037431847,0.12415683,0.12414826,0.12413969,0.12414774,0.12346101,0.7442189,0.08277694
4000.0,0.6534,3.0,0.25,-8.43226,447.62158,0.00834022,0.008360837,0.12300499,0.122992225,0.122979455,0.12299171,0.12231566,0.73730177,0.08201184
4000.0,0.6534,3.0,0.33333,-8.43226,452.66495,0.014673806,0.0147039415,0.12142132,0.121404484,0.121387646,0.12140398,0.12074092,0.7277965,0.080958776
4000.0,0.6534,3.0,0.41667,-8.43226,459.38504,0.022617541,0.022651803,0.11943543,0.11941468,0.11939393,0.11941418,0.1187662,0.7158806,0.07963746
4000.0,0.6534,3.0,0.5,-8.43226,467.7884,0.03202584,0.032053217,0.11708442,0.11705995,0.117035486,0.11705947,0.11642841,0.70177656,0.0780726
4000.0,0.6534,3.0,0.58333,-8.43226,477.88568,0.042735893,0.04273902,0.114409804,0.11438184,0.11435388,0.114381365,0.11376883,0.68573344,0.07629185
4000.0,0.6534,3.0,0.66667,-8.43226,489.6904,0.05457249,0.054527123,0.11145627,0.11142505,0.11139384,0.11142459,0.11083188,0.66801906,0.074324995
